T,N,C
201112,6184,0.2989722707
201201,6197,0.297070725
201202,6205,0.2946687767
201203,6220,0.2955918208
201204,6239,0.2972855731
201205,6273,0.2963711484
201206,6295,0.298042828
201207,6289,0.294025054
201208,6254,0.2432952093
201209,6256,0.229094073
201210,6218,0.2046423115
201211,6224,0.1783128912
201212,6209,0.1667934271
201301,6225,0.1710466334
201302,6254,0.1735008352
201303,6255,0.1665633432
201304,6260,0.1677792371
201305,6262,0.1642166183
201306,6254,0.1625228281
201307,6257,0.1590463573
201308,6258,0.1637247185
201309,6260,0.1625889271
201310,6266,0.167102239
201311,6245,0.1601529477
201312,6250,0.1618297743
201401,6248,0.164155254
201402,6245,0.1639916652
201403,6237,0.1679132389
201404,6266,0.1620213047
201405,6300,0.1597285764
201406,6320,0.1422891754
201407,6338,0.1477611198
201408,6356,0.1425828707
201409,6363,0.1446721606
201410,6395,0.1463790088
201411,6415,0.1440350852
201412,6404,0.1499025875
201501,6414,0.1494870033
201502,6427,0.1447028265
201503,6450,0.1466547076
201504,6473,0.1415415563
201505,6503,0.1408747461
201506,6547,0.1446010137
201507,6573,0.1428135419
201508,6573,0.1599465307
201509,6584,0.1678884182
201510,6605,0.1655085963
201511,6641,0.1658317504
201512,6641,0.1672900483
201601,6634,0.1829671462
201602,6640,0.1854705161
201603,6640,0.1877063561
201604,6639,0.1888849969
201605,6632,0.1888882033
201606,6675,0.1969704888
201607,6696,0.1990397863
201608,6672,0.1883770862
201609,6658,0.1905878205
201610,6676,0.1901836317
201611,6680,0.1857742883
201612,6675,0.1814856613
201701,6674,0.1636519137
201702,6667,0.1561241549
201703,6651,0.1521680886
201704,6663,0.1515438381
201705,6677,0.1493304563
201706,6691,0.1261493226
201707,6694,0.1227338919
201708,6699,0.1255490316
201709,6696,0.1080894921
201710,6699,0.1026942139
201711,6696,0.1024336088
201712,6695,0.0987424035
201801,6707,0.0992093605
201802,6707,0.1295999236
201803,6716,0.1321599514
201804,6661,0.1359970402
201805,6675,0.1339337067
201806,6691,0.1328602046
201807,6704,0.1316318632
201808,6691,0.1277191246
201809,6718,0.1278199832
201810,6745,0.1436703194
201811,6799,0.1536564447
201812,6788,0.1757597871
201901,6792,0.1855686586
201902,6803,0.1712417276
201903,6799,0.1693359094
201904,6851,0.1671810615
201905,6869,0.1745122285
201906,6921,0.1763848086
201907,6940,0.1761452767
201908,6951,0.1894196819
201909,6972,0.1899766437
201910,6998,0.1827764872
201911,7000,0.1770792045
201912,6992,0.1543121979
